WardCode,WardName,Year,Ward_DASR_Cancers_Under75,Liverpool_cancers_Under75,Ward_DASR_cvd_Under754,Liverpool_cvd_Under755,Ward_Reception_Overweight_Obese,Liverpool_Reception_Overweight_Obese,England_Reception_Overweight_Obese,Ward_Year6_Overweight_obese,Liverpool_Year6_Overweight_Obese,England_Year6_Overweight_Obese,Ward_alcohol_specific_admissions,Liverpool_alcohol_specific_admissions,England_alcohol_specific_admissions
E05000886,Allerton and Hunts Cross,2016,129.9019038,197.4012184,66.56630899,101.1596177,25.0,25.3,22.1,39.8,39.7,34.2,388.4,1298.5,583.2
E05000887,Anfield,2016,238.1919634,197.4012184,140.2969906,101.1596177,25.0,25.3,22.1,39.0,39.7,34.2,2219.6,1298.5,583.2
E05000888,Belle Vale,2016,270.0863331,197.4012184,102.9979745,101.1596177,31.4,25.3,22.1,36.4,39.7,34.2,1207.0,1298.5,583.2
E05000889,Central,2016,283.7782091,197.4012184,157.0673452,101.1596177,11.8,25.3,22.1,40.4,39.7,34.2,1018.5,1298.5,583.2
E05000890,Childwall,2016,167.4124894,197.4012184,56.14755288,101.1596177,19.0,25.3,22.1,33.3,39.7,34.2,309.1,1298.5,583.2
E05000891,Church,2016,109.4850655,197.4012184,13.83056303,101.1596177,22.1,25.3,22.1,26.0,39.7,34.2,247.8,1298.5,583.2
E05000892,Clubmoor,2016,211.9785312,197.4012184,144.6004513,101.1596177,24.4,25.3,22.1,41.3,39.7,34.2,1334.1,1298.5,583.2
E05000893,County,2016,272.7943922,197.4012184,171.6973374,101.1596177,30.4,25.3,22.1,48.1,39.7,34.2,1663.0,1298.5,583.2
E05000894,Cressington,2016,194.1472387,197.4012184,67.3379614,101.1596177,25.3,25.3,22.1,32.8,39.7,34.2,616.8,1298.5,583.2
E05000895,Croxteth,2016,219.5781781,197.4012184,77.8225319,101.1596177,22.4,25.3,22.1,35.2,39.7,34.2,866.5,1298.5,583.2
