Category,Company Name,Region,name,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
Charity,The Trussell Trust Food Bank,Liverpool,60 Peel Rd  Bootle L20 4RW,60 Peel RdBootle L20 4RW,60 Peel Rd,BootleL20,4,0151 933 1300,trusselltrust.org,reg_with_fund_reg@2x.png,5,5
Foodbank,Christ Church Community Centre,Liverpool,8 Oxford Rd  Bootle L20 9HW,8 Oxford RdBootle L20 9HW,8 Oxford Rd,BootleL20,9,,,,,
Church,St Oswalds Church Centre,Liverpool,Ronald Ross Ave  Netherton   Bootle L30 5RD,Ronald Ross AveNetherton,Liverpool,BootleL30,5,0151 521 6002,,,3,3
Non-profit organisation,Micah Liverpool,Liverpool,St James Mt  Liverpool L1 7AZ,St James MtLiverpool L1 7AZ,St James Mt,LiverpoolL1,7,0151 702 7206,micahliverpool.com,hannah.clarke@liverpool.org.uk,,
Charity,Hope+,Liverpool,St James House  Liverpool Cathedral Office  20 St James Rd  Liverpool L1 7BY,St James HouseLiverpool Cathedral Office,20 St James Rd,LiverpoolL1,7,0151 702 7237,liverpoolcathedral.org.uk,jenny.moran@liverpoolcathedral.org.uk,,
Cathedral,Liverpool Cathedral,Liverpool,St James Mt  Liverpool L1 7AZ,St James MtLiverpool L1 7AZ,St James Mt,LiverpoolL1,7,0151 709 6271,liverpoolcathedral.org.uk,jenny.moran@liverpoolcathedral.org.uk,4.7,8503
Non-profit organisation,British Red Cross Liverpool,Liverpool,36 Renshaw St  Liverpool L1 4EF,36 Renshaw StLiverpool L1 4EF,36 Renshaw St,LiverpoolL1,4,0151 707 1074,redcross.org.uk,contactus@redcross.org.uk.,5,1
Church,Saint Paul's Church,Liverpool,Formosa Dr  Liverpool L10 7LD,Formosa DrLiverpool L10 7LD,Formosa Dr,LiverpoolL10,7,,,,,
Non-profit organisation,The Salvation Army,Liverpool,90 Mostyn Ave  Old Roan   L10 2JQ,90 Mostyn AveOld Roan,Old Roan,LiverpoolL10,2,0151 525 4785,salvationarmy.org.uk,douglas@salvationarmy.org.uk.Privacy,,
Church of England Church,The Church of the Good Shepherd,Liverpool,Lower House Ln  Liverpool L11 2SF,Lower House LnLiverpool L11 2SF,Lower House Ln,LiverpoolL11,2,0151 280 3883,achurchnearyou.com,,4.5,17
Church,Christ Church,Liverpool,Sedgemoor Rd  Liverpool L11 3BR,Sedgemoor RdLiverpool L11 3BR,Sedgemoor Rd,LiverpoolL11,3,0151 226 1774,christchurchnorrisgreen.org,helenEdwards@ymail.com,4.5,10
Community centre,St Andrew's Community Network,Liverpool,16 Larkhill Ln  Clubmoor  Liverpool L13 9BR,16 Larkhill LnClubmoor,Clubmoor,LiverpoolL13,9,0151 226 3406,standrewslive.org.uk,admin@standrewslive.org.uk,4.7,12
Non-profit organisation,St Andrew's Community Network,Liverpool,16 Larkhill Ln  Clubmoor  Liverpool L13 9BR,16 Larkhill LnClubmoor,Clubmoor,LiverpoolL13,9,0151 226 3406,standrewslive.org.uk,admin@standrewslive.org.uk,4.5,16
Church,St Andrew's Church Clubmoor,Liverpool,176 Queens Dr  Liverpool L13 0AL,176 Queens DrLiverpool L13 0AL,176 Queens Dr,LiverpoolL13,,0151 226 1977,standrewsclubmoor.com,1977enquiries@standrewslive.org.uk,4.8,12
Non-profit organisation,Salvation Army,Liverpool,Prescot Rd  Old Swan  Liverpool L13 3BT,Prescot RdOld Swan,Old Swan,LiverpoolL13,3,0151 259 3958,salvationarmy.org.uk,douglas@salvationarmy.org.uk.Privacy,3.3,6
Evangelical church,Dovecot Evangelical Church,Liverpool,426 E Prescot Rd  Liverpool L14 2EH,426 E Prescot RdLiverpool L14 2EH,426 E Prescot Rd,LiverpoolL14,2,,dovecotevangelicalchurch.org,14370afcdc17429f9e418d5ffbd0334a@sentry.wixpress.com,4.4,9
Methodist church,Court Hey Methodist Church,Liverpool,139 Roby Rd  Liverpool L14 3NU,139 Roby RdLiverpool L14 3NU,139 Roby Rd,LiverpoolL14,3,0151 489 2778,chmc.co.uk,info@chmc.org.uk.CHMC,4.7,13
Foodbank,The Trussell Trust Foodbank,Liverpool,147 Lawrence Rd  Liverpool L15 3HA,Front Line Centre147 Lawrence Rd,147 Lawrence Rd,LiverpoolL15,3,07760 718640,trusselltrust.org,reg_with_fund_reg@2x.png,3.6,5
Church,Frontline Church Liverpool,Liverpool,  147 Lawrence Rd  Liverpool L15 3HA,Front Line Centre147 Lawrence Rd,147 Lawrence Rd,LiverpoolL15,3,0151 733 3373,frontline.org.uk,3373info@frontline.org.ukCharity,4.6,53
Non-profit organisation,The Trussell Trust Food Bank,Liverpool,PO Box  34 Liverpool Rd  Liverpool L15 0FH,PO Box34 Liverpool Rd,34 Liverpool Rd,LiverpoolL15,,0151 733 3373,,,,
Charity,The Trussell Trust Food Bank,Liverpool,  Heath Rd  Liverpool L19 4XR,Bungalow Bridge Chapel CentreHeath Rd,Heath Rd,LiverpoolL19,4,0151 281 9716,trusselltrust.org,reg_with_fund_reg@2x.png,4.5,2
